disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
38307,20180405,MB1,100,0,99,3792,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,83935785708.0,99,43849926278.0,100,0,100,65535,0,1
38307,20180404,MB1,100,0,99,3768,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,83545030378.0,99,43657286294.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
37842,20180630,MB1,100,0,98,5852,99,14,99,28,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,98112374976.0,99,57595943570.0,100,0,100,65535,0,1
37842,20180629,MB1,100,0,98,5828,99,14,99,28,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,97502900856.0,99,57144680010.0,100,0,100,65535,0,1
37842,20180628,MB1,100,0,98,5804,99,14,99,28,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,96919165750.0,99,56707594108.0,100,0,100,65535,0,1
37842,20180627,MB1,100,0,98,5780,99,14,99,27,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,96312183392.0,99,56262303458.0,100,0,100,65535,0,1
37842,20180626,MB1,100,0,98,5757,99,14,99,27,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,95702021581.0,99,55807792954.0,100,0,100,65535,0,1
37842,20180625,MB1,100,0,98,5733,99,14,99,27,100,6442,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,95146933133.0,99,55377807730.0,100,0,100,65535,0,1
6314,20190628,MB1,100,0,97,14568,99,15,98,140,100,6430,100,0,100,0,100,0,99,1,100,0,72,28,72,28,200,0,100,0,100,0,99,448413000000.0,99,348804000000.0,100,0,100,65535,0,1
