disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
31304,20190208,MB1,100,0,97,12091,99,25,99,13,100,6441,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,4640955574.0,99,280422000000.0,100,0,100,65535,0,1
31304,20190207,MB1,100,0,97,12067,99,25,99,13,100,6441,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,4640955574.0,99,280422000000.0,100,0,100,65535,0,1
31304,20190206,MB1,100,0,97,12043,99,25,99,13,100,6441,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,4640955574.0,99,280422000000.0,100,0,100,65535,0,1
31304,20190205,MB1,100,0,97,12019,99,25,99,12,100,6441,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,4640955574.0,99,280422000000.0,100,0,100,65535,0,1
31304,20190204,MB1,100,0,97,11995,99,25,99,12,100,6441,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,4640955574.0,99,280422000000.0,100,0,100,65535,0,1
28586,20181104,MB1,99,2,98,9796,99,24,99,8,99,6481,100,0,100,0,99,2,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,5548634034.0,99,228075000000.0,100,0,100,65535,0,1
28586,20181103,MB1,99,2,98,9772,99,24,99,8,99,6481,100,0,100,0,99,2,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548634034.0,99,228075000000.0,100,0,100,65535,0,1
28586,20181102,MB1,99,2,98,9748,99,24,99,8,99,6481,100,0,100,0,99,2,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548634034.0,99,228075000000.0,100,0,100,65535,0,1
28586,20181101,MB1,100,0,98,9724,99,24,99,8,100,6483,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548626187.0,99,224325000000.0,100,0,100,65535,0,1
28586,20181031,MB1,100,0,98,9700,99,24,99,8,100,6483,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548626187.0,99,224325000000.0,100,0,100,65535,0,1
